CoLPAT	GSE190644_transcript	mapping_confidence	mean_FPKM	median_FPKM	max_FPKM	min_FPKM	sd_FPKM	detected_accessions_FPKM_gt_1	total_accessions
CoLPAT1	maker-HiC_scaffold_1-snap-gene-819.33	High	14.305339366515835	14.1	26.73	6.33	3.2141547026378006	221	221
CoLPAT10	augustus_masked-HiC_scaffold_5-processed-gene-1547.16	High	8.961628959276018	8.7	20.01	5.15	1.9615545940246901	221	221
CoLPAT11	augustus_masked-HiC_scaffold_5-processed-gene-1547.16	High	8.961628959276018	8.7	20.01	5.15	1.9615545940246901	221	221
CoLPAT12	augustus_masked-HiC_scaffold_5-processed-gene-1547.16	High	8.961628959276018	8.7	20.01	5.15	1.9615545940246901	221	221
CoLPAT13	maker-HiC_scaffold_6-snap-gene-1118.5	High	3.2074208144796374	3.14	7.23	0.81	0.9471676194755445	220	221
CoLPAT14	maker-HiC_scaffold_6-snap-gene-1118.5	High	3.2074208144796374	3.14	7.23	0.81	0.9471676194755445	220	221
CoLPAT15	maker-HiC_scaffold_6-snap-gene-1118.5	High	3.2074208144796374	3.14	7.23	0.81	0.9471676194755445	220	221
CoLPAT16	maker-HiC_scaffold_6-snap-gene-1118.5	High	3.2074208144796374	3.14	7.23	0.81	0.9471676194755445	220	221
CoLPAT2	maker-HiC_scaffold_1-snap-gene-819.33	High	14.305339366515835	14.1	26.73	6.33	3.2141547026378006	221	221
CoLPAT3	augustus_masked-HiC_scaffold_5-processed-gene-1547.16	Low	8.961628959276018	8.7	20.01	5.15	1.9615545940246901	221	221
CoLPAT4	maker-HiC_scaffold_1-snap-gene-819.33	High	14.305339366515835	14.1	26.73	6.33	3.2141547026378006	221	221
CoLPAT5	augustus_masked-HiC_scaffold_5-processed-gene-1547.16	Low	8.961628959276018	8.7	20.01	5.15	1.9615545940246901	221	221
CoLPAT6	maker-HiC_scaffold_12-snap-gene-928.2	High	18.016199095022625	12.28	123.23	1.81	16.064257333262308	221	221
CoLPAT7	maker-HiC_scaffold_12-snap-gene-928.2	High	18.016199095022625	12.28	123.23	1.81	16.064257333262308	221	221
CoLPAT8	maker-HiC_scaffold_12-snap-gene-928.2	High	18.016199095022625	12.28	123.23	1.81	16.064257333262308	221	221
CoLPAT9	augustus_masked-HiC_scaffold_5-processed-gene-1547.16	Low	8.961628959276018	8.7	20.01	5.15	1.9615545940246901	221	221
